date,apple
2004-01-04,67
2004-01-11,69
2004-01-18,63
2004-01-25,61
2004-02-01,59
2004-02-08,56
2004-02-15,58
2004-02-22,60
2004-02-29,56
2004-03-07,52
2004-03-14,59
2004-03-21,56
2004-03-28,53
2004-04-04,54
2004-04-11,56
2004-04-18,57
2004-04-25,57
2004-05-02,57
2004-05-09,57
2004-05-16,63
2004-05-23,59
2004-05-30,58
2004-06-06,61
2004-06-13,58
2004-06-20,61
2004-06-27,66
2004-07-04,65
2004-07-11,63
2004-07-18,73
2004-07-25,71
2004-08-01,66
2004-08-08,66
2004-08-15,63
2004-08-22,67
2004-08-29,75
2004-09-05,75
2004-09-12,76
2004-09-19,82
2004-09-26,86
2004-10-03,86
2004-10-10,86
2004-10-17,78
2004-10-24,76
2004-10-31,66
2004-11-07,72
2004-11-14,74
2004-11-21,100
2004-11-28,75
2004-12-05,72
2004-12-12,79
2004-12-19,91
2004-12-26,86
2005-01-02,63
2005-01-09,81
2005-01-16,70
2005-01-23,59
2005-01-30,62
2005-02-06,60
2005-02-13,62
2005-02-20,66
2005-02-27,56
2005-03-06,60
2005-03-13,58
2005-03-20,59
2005-03-27,55
2005-04-03,56
2005-04-10,57
2005-04-17,56
2005-04-24,62
2005-05-01,62
2005-05-08,61
2005-05-15,59
2005-05-22,60
2005-05-29,60
2005-06-05,69
2005-06-12,61
2005-06-19,58
2005-06-26,56
2005-07-03,60
2005-07-10,59
2005-07-17,61
2005-07-24,59
2005-07-31,60
2005-08-07,59
2005-08-14,67
2005-08-21,65
2005-08-28,62
2005-09-04,81
2005-09-11,82
2005-09-18,79
2005-09-25,88
2005-10-02,88
2005-10-09,100
2005-10-16,81
2005-10-23,74
2005-10-30,75
2005-11-06,72
2005-11-13,75
2005-11-20,98
2005-11-27,75
2005-12-04,76
2005-12-11,82
2005-12-18,89
2005-12-25,94
2006-01-01,68
2006-01-08,80
2006-01-15,69
2006-01-22,64
2006-01-29,61
2006-02-05,62
2006-02-12,61
2006-02-19,62
2006-02-26,68
2006-03-05,59
2006-03-12,59
2006-03-19,57
2006-03-26,62
2006-04-02,68
2006-04-09,60
2006-04-16,57
2006-04-23,57
2006-04-30,57
2006-05-07,59
2006-05-14,64
2006-05-21,64
2006-05-28,62
2006-06-04,62
2006-06-11,59
2006-06-18,62
2006-06-25,62
2006-07-02,62
2006-07-09,60
2006-07-16,62
2006-07-23,65
2006-07-30,66
2006-08-06,70
2006-08-13,65
2006-08-20,77
2006-08-27,71
2006-09-03,75
2006-09-10,94
2006-09-17,85
2006-09-24,89
2006-10-01,91
2006-10-08,88
2006-10-15,81
2006-10-22,75
2006-10-29,70
2006-11-05,69
2006-11-12,73
2006-11-19,100
2006-11-26,71
2006-12-03,76
2006-12-10,74
2006-12-17,80
2006-12-24,92
2006-12-31,74
2007-01-07,100
2007-01-14,65
2007-01-21,56
2007-01-28,56
2007-02-04,54
2007-02-11,51
2007-02-18,50
2007-02-25,51
2007-03-04,52
2007-03-11,49
2007-03-18,55
2007-03-25,52
2007-04-01,52
2007-04-08,50
2007-04-15,48
2007-04-22,52
2007-04-29,48
2007-05-06,49
2007-05-13,49
2007-05-20,48
2007-05-27,51
2007-06-03,56
2007-06-10,63
2007-06-17,58
2007-06-24,67
2007-07-01,65
2007-07-08,59
2007-07-15,55
2007-07-22,56
2007-07-29,55
2007-08-05,62
2007-08-12,57
2007-08-19,55
2007-08-26,58
2007-09-02,90
2007-09-09,76
2007-09-16,77
2007-09-23,77
2007-09-30,79
2007-10-07,76
2007-10-14,74
2007-10-21,73
2007-10-28,72
2007-11-04,68
2007-11-11,70
2007-11-18,97
2007-11-25,69
2007-12-02,68
2007-12-09,68
2007-12-16,75
2007-12-23,88
2007-12-30,68
2008-01-06,64
2008-01-13,84
2008-01-20,71
2008-01-27,65
2008-02-03,65
2008-02-10,64
2008-02-17,60
2008-02-24,61
2008-03-02,62
2008-03-09,60
2008-03-16,61
2008-03-23,61
2008-03-30,60
2008-04-06,57
2008-04-13,58
2008-04-20,59
2008-04-27,57
2008-05-04,55
2008-05-11,56
2008-05-18,55
2008-05-25,58
2008-06-01,60
2008-06-08,76
2008-06-15,61
2008-06-22,58
2008-06-29,60
2008-07-06,74
2008-07-13,81
2008-07-20,73
2008-07-27,68
2008-08-03,65
2008-08-10,63
2008-08-17,63
2008-08-24,65
2008-08-31,68
2008-09-07,80
2008-09-14,76
2008-09-21,77
2008-09-28,80
2008-10-05,79
2008-10-12,88
2008-10-19,72
2008-10-26,67
2008-11-02,61
2008-11-09,63
2008-11-16,71
2008-11-23,100
2008-11-30,68
2008-12-07,65
2008-12-14,70
2008-12-21,85
2008-12-28,73
2009-01-04,67
2009-01-11,63
2009-01-18,60
2009-01-25,59
2009-02-01,57
2009-02-08,56
2009-02-15,57
2009-02-22,58
2009-03-01,60
2009-03-08,60
2009-03-15,59
2009-03-22,56
2009-03-29,54
2009-04-05,56
2009-04-12,55
2009-04-19,55
2009-04-26,53
2009-05-03,54
2009-05-10,54
2009-05-17,55
2009-05-24,57
2009-05-31,58
2009-06-07,80
2009-06-14,74
2009-06-21,64
2009-06-28,58
2009-07-05,60
2009-07-12,58
2009-07-19,58
2009-07-26,59
2009-08-02,60
2009-08-09,60
2009-08-16,62
2009-08-23,64
2009-08-30,68
2009-09-06,86
2009-09-13,74
2009-09-20,78
2009-09-27,78
2009-10-04,78
2009-10-11,76
2009-10-18,80
2009-10-25,69
2009-11-01,66
2009-11-08,66
2009-11-15,69
2009-11-22,100
2009-11-29,67
2009-12-06,67
2009-12-13,67
2009-12-20,83
2009-12-27,78
2010-01-03,51
2010-01-10,46
2010-01-17,49
2010-01-24,100
2010-01-31,48
2010-02-07,42
2010-02-14,41
2010-02-21,40
2010-02-28,41
2010-03-07,41
2010-03-14,39
2010-03-21,39
2010-03-28,47
2010-04-04,54
2010-04-11,46
2010-04-18,48
2010-04-25,46
2010-05-02,46
2010-05-09,45
2010-05-16,44
2010-05-23,47
2010-05-30,47
2010-06-06,66
2010-06-13,59
2010-06-20,62
2010-06-27,55
2010-07-04,50
2010-07-11,58
2010-07-18,54
2010-07-25,51
2010-08-01,50
2010-08-08,49
2010-08-15,50
2010-08-22,49
2010-08-29,66
2010-09-05,62
2010-09-12,56
2010-09-19,59
2010-09-26,62
2010-10-03,60
2010-10-10,58
2010-10-17,63
2010-10-24,53
2010-10-31,49
2010-11-07,52
2010-11-14,58
2010-11-21,82
2010-11-28,59
2010-12-05,55
2010-12-12,54
2010-12-19,63
2010-12-26,63
2011-01-02,38
2011-01-09,36
2011-01-16,36
2011-01-23,34
2011-01-30,33
2011-02-06,35
2011-02-13,33
2011-02-20,37
2011-02-27,47
2011-03-06,42
2011-03-13,41
2011-03-20,39
2011-03-27,36
2011-04-03,35
2011-04-10,35
2011-04-17,37
2011-04-24,36
2011-05-01,36
2011-05-08,36
2011-05-15,35
2011-05-22,35
2011-05-29,35
2011-06-05,45
2011-06-12,38
2011-06-19,36
2011-06-26,35
2011-07-03,36
2011-07-10,35
2011-07-17,41
2011-07-24,39
2011-07-31,37
2011-08-07,38
2011-08-14,38
2011-08-21,41
2011-08-28,38
2011-09-04,42
2011-09-11,42
2011-09-18,44
2011-09-25,46
2011-10-02,100
2011-10-09,72
2011-10-16,60
2011-10-23,53
2011-10-30,47
2011-11-06,45
2011-11-13,48
2011-11-20,69
2011-11-27,48
2011-12-04,45
2011-12-11,45
2011-12-18,52
2011-12-25,59
2012-01-01,50
2012-01-08,46
2012-01-15,45
2012-01-22,44
2012-01-29,42
2012-02-05,42
2012-02-12,43
2012-02-19,42
2012-02-26,44
2012-03-04,65
2012-03-11,51
2012-03-18,50
2012-03-25,43
2012-04-01,43
2012-04-08,40
2012-04-15,41
2012-04-22,42
2012-04-29,40
2012-05-06,40
2012-05-13,39
2012-05-20,41
2012-05-27,40
2012-06-03,40
2012-06-10,56
2012-06-17,47
2012-06-24,42
2012-07-01,43
2012-07-08,43
2012-07-15,43
2012-07-22,46
2012-07-29,45
2012-08-05,43
2012-08-12,46
