date,cancer
2004-01-04,75
2004-01-11,74
2004-01-18,71
2004-01-25,82
2004-02-01,71
2004-02-08,75
2004-02-15,72
2004-02-22,81
2004-02-29,73
2004-03-07,75
2004-03-14,71
2004-03-21,67
2004-03-28,75
2004-04-04,72
2004-04-11,71
2004-04-18,76
2004-04-25,80
2004-05-02,79
2004-05-09,75
2004-05-16,73
2004-05-23,73
2004-05-30,69
2004-06-06,80
2004-06-13,80
2004-06-20,71
2004-06-27,72
2004-07-04,75
2004-07-11,65
2004-07-18,75
2004-07-25,70
2004-08-01,72
2004-08-08,64
2004-08-15,69
2004-08-22,80
2004-08-29,69
2004-09-05,70
2004-09-12,78
2004-09-19,87
2004-09-26,83
2004-10-03,87
2004-10-10,89
2004-10-17,100
2004-10-24,97
2004-10-31,87
2004-11-07,91
2004-11-14,97
2004-11-21,75
2004-11-28,88
2004-12-05,86
2004-12-12,78
2004-12-19,63
2004-12-26,64
2005-01-02,80
2005-01-09,85
2005-01-16,79
2005-01-23,76
2005-01-30,83
2005-02-06,79
2005-02-13,86
2005-02-20,80
2005-02-27,80
2005-03-06,82
2005-03-13,84
2005-03-20,75
2005-03-27,79
2005-04-03,89
2005-04-10,89
2005-04-17,87
2005-04-24,83
2005-05-01,86
2005-05-08,85
2005-05-15,86
2005-05-22,77
2005-05-29,74
2005-06-05,74
2005-06-12,79
2005-06-19,77
2005-06-26,76
2005-07-03,69
2005-07-10,78
2005-07-17,76
2005-07-24,73
2005-07-31,68
2005-08-07,100
2005-08-14,77
2005-08-21,74
2005-08-28,65
2005-09-04,70
2005-09-11,77
2005-09-18,75
2005-09-25,82
2005-10-02,85
2005-10-09,82
2005-10-16,81
2005-10-23,78
2005-10-30,76
2005-11-06,75
2005-11-13,77
2005-11-20,63
2005-11-27,75
2005-12-04,70
2005-12-11,67
2005-12-18,60
2005-12-25,60
2006-01-01,73
2006-01-08,80
2006-01-15,79
2006-01-22,86
2006-01-29,86
2006-02-05,86
2006-02-12,78
2006-02-19,83
2006-02-26,85
2006-03-05,98
2006-03-12,91
2006-03-19,87
2006-03-26,85
2006-04-02,88
2006-04-09,83
2006-04-16,89
2006-04-23,90
2006-04-30,91
2006-05-07,87
2006-05-14,89
2006-05-21,81
2006-05-28,83
2006-06-04,84
2006-06-11,80
2006-06-18,82
2006-06-25,88
2006-07-02,80
2006-07-09,80
2006-07-16,78
2006-07-23,81
2006-07-30,79
2006-08-06,79
2006-08-13,81
2006-08-20,80
2006-08-27,81
2006-09-03,77
2006-09-10,83
2006-09-17,86
2006-09-24,87
2006-10-01,100
2006-10-08,100
2006-10-15,98
2006-10-22,94
2006-10-29,88
2006-11-05,86
2006-11-12,86
2006-11-19,68
2006-11-26,81
2006-12-03,79
2006-12-10,79
2006-12-17,71
2006-12-24,64
2006-12-31,74
2007-01-07,79
2007-01-14,82
2007-01-21,81
2007-01-28,86
2007-02-04,84
2007-02-11,71
2007-02-18,80
2007-02-25,79
2007-03-04,77
2007-03-11,78
2007-03-18,90
2007-03-25,94
2007-04-01,81
2007-04-08,84
2007-04-15,87
2007-04-22,87
2007-04-29,90
2007-05-06,91
2007-05-13,84
2007-05-20,82
2007-05-27,81
2007-06-03,78
2007-06-10,80
2007-06-17,81
2007-06-24,80
2007-07-01,75
2007-07-08,81
2007-07-15,77
2007-07-22,81
2007-07-29,82
2007-08-05,73
2007-08-12,78
2007-08-19,76
2007-08-26,82
2007-09-02,79
2007-09-09,86
2007-09-16,84
2007-09-23,88
2007-09-30,100
2007-10-07,99
