date,finance
2004-01-04,91
2004-01-11,93
2004-01-18,85
2004-01-25,97
2004-02-01,96
2004-02-08,88
2004-02-15,97
2004-02-22,94
2004-02-29,91
2004-03-07,85
2004-03-14,95
2004-03-21,72
2004-03-28,99
2004-04-04,93
2004-04-11,97
2004-04-18,93
2004-04-25,91
2004-05-02,95
2004-05-09,85
2004-05-16,80
2004-05-23,88
2004-05-30,77
2004-06-06,83
2004-06-13,82
2004-06-20,97
2004-06-27,90
2004-07-04,84
2004-07-11,88
2004-07-18,90
2004-07-25,100
2004-08-01,97
2004-08-08,93
2004-08-15,92
2004-08-22,85
2004-08-29,93
2004-09-05,80
2004-09-12,92
2004-09-19,95
2004-09-26,93
2004-10-03,95
2004-10-10,85
2004-10-17,89
2004-10-24,93
2004-10-31,87
2004-11-07,87
2004-11-14,84
2004-11-21,87
2004-11-28,94
2004-12-05,83
2004-12-12,85
2004-12-19,78
2004-12-26,79
2005-01-02,82
2005-01-09,98
2005-01-16,86
2005-01-23,89
2005-01-30,91
2005-02-06,98
2005-02-13,96
2005-02-20,91
2005-02-27,95
2005-03-06,82
2005-03-13,96
2005-03-20,94
2005-03-27,85
2005-04-03,88
2005-04-10,97
2005-04-17,88
2005-04-24,91
2005-05-01,88
2005-05-08,82
2005-05-15,96
2005-05-22,85
2005-05-29,85
2005-06-05,86
2005-06-12,100
2005-06-19,99
2005-06-26,99
2005-07-03,100
2005-07-10,94
2005-07-17,98
2005-07-24,86
2005-07-31,98
2005-08-07,92
2005-08-14,86
2005-08-21,90
2005-08-28,89
2005-09-04,86
2005-09-11,88
2005-09-18,90
2005-09-25,98
2005-10-02,98
2005-10-09,92
2005-10-16,98
2005-10-23,93
2005-10-30,95
2005-11-06,82
2005-11-13,85
2005-11-20,75
2005-11-27,83
2005-12-04,89
2005-12-11,81
2005-12-18,77
2005-12-25,80
2006-01-01,76
2006-01-08,87
2006-01-15,87
2006-01-22,90
2006-01-29,90
2006-02-05,86
2006-02-12,79
2006-02-19,90
