date,gain
2004-01-04,76
2004-01-11,94
2004-01-18,83
2004-01-25,58
2004-02-01,83
2004-02-08,68
2004-02-15,78
2004-02-22,76
2004-02-29,83
2004-03-07,75
2004-03-14,89
2004-03-21,83
2004-03-28,86
2004-04-04,92
2004-04-11,68
2004-04-18,84
2004-04-25,80
2004-05-02,75
2004-05-09,88
2004-05-16,80
2004-05-23,100
2004-05-30,67
2004-06-06,87
2004-06-13,71
2004-06-20,74
2004-06-27,82
2004-07-04,86
2004-07-11,82
2004-07-18,82
2004-07-25,69
2004-08-01,81
2004-08-08,73
2004-08-15,78
2004-08-22,65
2004-08-29,64
2004-09-05,66
2004-09-12,63
2004-09-19,70
2004-09-26,71
2004-10-03,65
2004-10-10,86
2004-10-17,73
2004-10-24,75
2004-10-31,71
2004-11-07,57
2004-11-14,76
2004-11-21,77
2004-11-28,94
2004-12-05,69
2004-12-12,70
2004-12-19,54
2004-12-26,69
2005-01-02,90
2005-01-09,71
2005-01-16,82
2005-01-23,98
2005-01-30,77
2005-02-06,82
2005-02-13,78
2005-02-20,100
2005-02-27,81
2005-03-06,100
2005-03-13,85
2005-03-20,93
2005-03-27,93
2005-04-03,98
2005-04-10,89
2005-04-17,87
2005-04-24,96
2005-05-01,80
2005-05-08,94
2005-05-15,93
2005-05-22,94
2005-05-29,94
2005-06-05,93
2005-06-12,82
2005-06-19,86
2005-06-26,79
2005-07-03,83
2005-07-10,95
2005-07-17,87
2005-07-24,84
2005-07-31,85
2005-08-07,86
2005-08-14,76
2005-08-21,84
2005-08-28,78
2005-09-04,74
2005-09-11,79
2005-09-18,79
2005-09-25,86
2005-10-02,83
2005-10-09,86
2005-10-16,87
2005-10-23,75
2005-10-30,70
2005-11-06,74
2005-11-13,87
2005-11-20,71
2005-11-27,82
2005-12-04,88
2005-12-11,74
2005-12-18,78
2005-12-25,70
2006-01-01,90
2006-01-08,81
2006-01-15,78
2006-01-22,99
2006-01-29,96
2006-02-05,87
2006-02-12,87
2006-02-19,82
2006-02-26,87
2006-03-05,100
2006-03-12,88
2006-03-19,92
2006-03-26,86
2006-04-02,87
2006-04-09,88
2006-04-16,90
2006-04-23,82
2006-04-30,74
2006-05-07,79
2006-05-14,97
2006-05-21,72
2006-05-28,99
2006-06-04,79
2006-06-11,79
2006-06-18,83
2006-06-25,78
2006-07-02,60
2006-07-09,71
2006-07-16,71
2006-07-23,71
2006-07-30,80
2006-08-06,73
2006-08-13,67
2006-08-20,74
2006-08-27,75
2006-09-03,73
2006-09-10,68
2006-09-17,65
2006-09-24,77
2006-10-01,72
2006-10-08,83
2006-10-15,74
2006-10-22,80
2006-10-29,74
2006-11-05,75
2006-11-12,74
2006-11-19,60
2006-11-26,76
2006-12-03,82
2006-12-10,70
2006-12-17,73
2006-12-24,78
2006-12-31,81
2007-01-07,92
2007-01-14,81
2007-01-21,90
2007-01-28,100
2007-02-04,79
2007-02-11,84
2007-02-18,89
2007-02-25,93
2007-03-04,92
2007-03-11,88
2007-03-18,82
2007-03-25,91
2007-04-01,91
2007-04-08,97
2007-04-15,81
2007-04-22,93
2007-04-29,87
2007-05-06,86
2007-05-13,84
2007-05-20,87
2007-05-27,82
2007-06-03,90
2007-06-10,78
2007-06-17,81
2007-06-24,82
2007-07-01,80
2007-07-08,84
2007-07-15,84
2007-07-22,93
2007-07-29,82
2007-08-05,87
2007-08-12,92
2007-08-19,74
2007-08-26,72
2007-09-02,79
2007-09-09,85
2007-09-16,87
2007-09-23,84
2007-09-30,81
2007-10-07,81
2007-10-14,86
2007-10-21,77
2007-10-28,86
2007-11-04,85
2007-11-11,85
2007-11-18,71
2007-11-25,83
2007-12-02,76
2007-12-09,76
2007-12-16,64
2007-12-23,79
2007-12-30,88
2008-01-06,92
2008-01-13,84
2008-01-20,89
2008-01-27,88
2008-02-03,90
2008-02-10,95
2008-02-17,85
2008-02-24,99
2008-03-02,95
2008-03-09,96
2008-03-16,91
2008-03-23,100
2008-03-30,99
2008-04-06,92
2008-04-13,94
2008-04-20,93
2008-04-27,82
2008-05-04,86
2008-05-11,90
2008-05-18,90
2008-05-25,85
2008-06-01,87
2008-06-08,81
2008-06-15,87
2008-06-22,87
2008-06-29,81
2008-07-06,91
2008-07-13,94
2008-07-20,93
2008-07-27,86
2008-08-03,85
2008-08-10,83
2008-08-17,85
2008-08-24,83
2008-08-31,85
2008-09-07,93
2008-09-14,88
2008-09-21,96
2008-09-28,87
2008-10-05,85
2008-10-12,95
2008-10-19,91
2008-10-26,93
2008-11-02,86
2008-11-09,99
2008-11-16,86
2008-11-23,84
2008-11-30,88
2008-12-07,92
2008-12-14,87
2008-12-21,76
2008-12-28,94
2009-01-04,71
2009-01-11,70
2009-01-18,71
2009-01-25,100
2009-02-01,82
2009-02-08,73
2009-02-15,76
2009-02-22,73
2009-03-01,66
2009-03-08,79
2009-03-15,72
2009-03-22,72
2009-03-29,74
2009-04-05,76
2009-04-12,80
2009-04-19,78
2009-04-26,79
2009-05-03,75
2009-05-10,77
2009-05-17,76
2009-05-24,78
2009-05-31,79
2009-06-07,77
2009-06-14,75
2009-06-21,67
2009-06-28,75
2009-07-05,74
2009-07-12,76
2009-07-19,83
2009-07-26,76
2009-08-02,76
2009-08-09,75
2009-08-16,68
2009-08-23,73
2009-08-30,68
2009-09-06,73
2009-09-13,76
2009-09-20,75
2009-09-27,75
2009-10-04,74
2009-10-11,76
2009-10-18,79
2009-10-25,73
2009-11-01,72
2009-11-08,77
2009-11-15,79
2009-11-22,70
2009-11-29,78
2009-12-06,73
2009-12-13,76
2009-12-20,63
2009-12-27,71
2010-01-03,90
2010-01-10,96
2010-01-17,95
2010-01-24,91
2010-01-31,89
2010-02-07,90
2010-02-14,90
2010-02-21,96
2010-02-28,96
2010-03-07,98
2010-03-14,96
2010-03-21,99
2010-03-28,95
2010-04-04,100
2010-04-11,97
2010-04-18,96
2010-04-25,93
2010-05-02,97
2010-05-09,96
2010-05-16,96
2010-05-23,96
2010-05-30,93
2010-06-06,91
2010-06-13,82
2010-06-20,84
2010-06-27,88
2010-07-04,91
2010-07-11,88
2010-07-18,89
2010-07-25,86
2010-08-01,89
2010-08-08,86
2010-08-15,87
2010-08-22,83
2010-08-29,84
2010-09-05,87
2010-09-12,89
2010-09-19,92
2010-09-26,91
2010-10-03,84
2010-10-10,86
2010-10-17,92
2010-10-24,91
2010-10-31,89
2010-11-07,89
2010-11-14,86
2010-11-21,77
2010-11-28,89
2010-12-05,90
2010-12-12,83
2010-12-19,68
2010-12-26,80
2011-01-02,90
2011-01-09,89
2011-01-16,93
2011-01-23,90
2011-01-30,85
2011-02-06,91
2011-02-13,95
2011-02-20,87
2011-02-27,95
2011-03-06,90
2011-03-13,85
2011-03-20,89
2011-03-27,91
2011-04-03,94
2011-04-10,96
2011-04-17,96
2011-04-24,90
2011-05-01,91
2011-05-08,100
2011-05-15,94
2011-05-22,90
2011-05-29,93
2011-06-05,92
2011-06-12,91
2011-06-19,94
2011-06-26,93
2011-07-03,95
2011-07-10,94
2011-07-17,92
2011-07-24,90
2011-07-31,92
2011-08-07,91
2011-08-14,90
2011-08-21,86
2011-08-28,87
2011-09-04,86
2011-09-11,90
2011-09-18,91
2011-09-25,91
2011-10-02,90
2011-10-09,95
2011-10-16,94
2011-10-23,90
2011-10-30,87
2011-11-06,87
2011-11-13,89
2011-11-20,82
2011-11-27,89
2011-12-04,82
2011-12-11,82
2011-12-18,75
2011-12-25,79
2012-01-01,73
2012-01-08,74
2012-01-15,76
2012-01-22,77
2012-01-29,80
2012-02-05,79
2012-02-12,76
2012-02-19,82
2012-02-26,79
2012-03-04,78
2012-03-11,84
2012-03-18,81
2012-03-25,77
2012-04-01,85
2012-04-08,82
2012-04-15,86
2012-04-22,84
2012-04-29,78
2012-05-06,83
2012-05-13,82
2012-05-20,83
2012-05-27,78
2012-06-03,83
2012-06-10,72
2012-06-17,82
