date,housing
2004-01-04,75
2004-01-11,90
2004-01-18,81
2004-01-25,78
2004-02-01,78
2004-02-08,84
2004-02-15,77
2004-02-22,86
2004-02-29,94
2004-03-07,94
2004-03-14,90
2004-03-21,81
2004-03-28,91
2004-04-04,91
2004-04-11,86
2004-04-18,90
2004-04-25,100
2004-05-02,96
2004-05-09,98
2004-05-16,85
2004-05-23,88
2004-05-30,89
2004-06-06,87
2004-06-13,87
2004-06-20,86
2004-06-27,92
2004-07-04,88
2004-07-11,94
2004-07-18,86
2004-07-25,93
2004-08-01,86
2004-08-08,83
2004-08-15,83
2004-08-22,90
2004-08-29,81
2004-09-05,76
2004-09-12,83
2004-09-19,77
2004-09-26,81
2004-10-03,83
2004-10-10,77
2004-10-17,73
2004-10-24,75
2004-10-31,66
2004-11-07,73
2004-11-14,69
2004-11-21,64
2004-11-28,76
2004-12-05,73
2004-12-12,67
2004-12-19,67
2004-12-26,72
2005-01-02,70
2005-01-09,78
2005-01-16,73
2005-01-23,81
2005-01-30,72
2005-02-06,79
2005-02-13,71
2005-02-20,77
2005-02-27,81
2005-03-06,81
2005-03-13,79
2005-03-20,85
2005-03-27,82
2005-04-03,77
2005-04-10,87
2005-04-17,87
2005-04-24,89
2005-05-01,82
2005-05-08,90
2005-05-15,78
2005-05-22,83
2005-05-29,82
2005-06-05,80
2005-06-12,79
2005-06-19,93
2005-06-26,78
2005-07-03,81
2005-07-10,87
2005-07-17,87
2005-07-24,80
2005-07-31,90
2005-08-07,82
2005-08-14,87
2005-08-21,85
2005-08-28,86
2005-09-04,100
2005-09-11,86
2005-09-18,78
2005-09-25,77
2005-10-02,74
2005-10-09,72
2005-10-16,75
2005-10-23,73
2005-10-30,73
2005-11-06,71
2005-11-13,73
2005-11-20,61
2005-11-27,71
2005-12-04,66
2005-12-11,63
2005-12-18,59
2005-12-25,68
2006-01-01,82
2006-01-08,87
2006-01-15,90
2006-01-22,89
2006-01-29,88
2006-02-05,84
2006-02-12,81
2006-02-19,82
2006-02-26,89
2006-03-05,91
2006-03-12,87
2006-03-19,91
2006-03-26,93
2006-04-02,91
2006-04-09,94
2006-04-16,96
2006-04-23,100
2006-04-30,91
2006-05-07,92
2006-05-14,95
2006-05-21,92
2006-05-28,88
2006-06-04,88
2006-06-11,93
2006-06-18,95
2006-06-25,89
2006-07-02,83
2006-07-09,96
2006-07-16,91
2006-07-23,96
2006-07-30,91
2006-08-06,92
2006-08-13,92
2006-08-20,98
2006-08-27,87
2006-09-03,79
2006-09-10,83
2006-09-17,85
2006-09-24,89
2006-10-01,82
2006-10-08,83
2006-10-15,78
2006-10-22,87
2006-10-29,78
2006-11-05,74
2006-11-12,75
2006-11-19,64
2006-11-26,72
2006-12-03,74
2006-12-10,73
2006-12-17,67
2006-12-24,67
2006-12-31,77
2007-01-07,82
2007-01-14,83
2007-01-21,86
2007-01-28,81
2007-02-04,82
2007-02-11,79
2007-02-18,84
2007-02-25,85
2007-03-04,86
2007-03-11,90
2007-03-18,88
2007-03-25,95
2007-04-01,87
2007-04-08,92
2007-04-15,92
2007-04-22,100
2007-04-29,92
2007-05-06,91
2007-05-13,89
2007-05-20,82
2007-05-27,90
2007-06-03,90
2007-06-10,92
2007-06-17,87
2007-06-24,87
2007-07-01,82
2007-07-08,93
2007-07-15,93
2007-07-22,100
2007-07-29,93
2007-08-05,97
2007-08-12,96
2007-08-19,89
2007-08-26,93
2007-09-02,81
2007-09-09,86
2007-09-16,81
2007-09-23,83
2007-09-30,82
2007-10-07,82
2007-10-14,80
2007-10-21,80
2007-10-28,80
2007-11-04,78
2007-11-11,77
2007-11-18,66
2007-11-25,78
2007-12-02,75
2007-12-09,69
2007-12-16,65
2007-12-23,68
2007-12-30,76
2008-01-06,84
2008-01-13,87
2008-01-20,86
2008-01-27,90
2008-02-03,79
2008-02-10,83
2008-02-17,81
2008-02-24,88
2008-03-02,90
2008-03-09,87
2008-03-16,83
2008-03-23,91
2008-03-30,94
2008-04-06,88
2008-04-13,91
2008-04-20,88
2008-04-27,92
2008-05-04,89
2008-05-11,85
2008-05-18,87
2008-05-25,84
2008-06-01,83
2008-06-08,80
2008-06-15,84
2008-06-22,83
2008-06-29,80
2008-07-06,85
2008-07-13,87
2008-07-20,92
2008-07-27,100
2008-08-03,91
2008-08-10,86
2008-08-17,82
2008-08-24,80
2008-08-31,75
2008-09-07,76
2008-09-14,84
2008-09-21,85
2008-09-28,88
2008-10-05,81
2008-10-12,74
2008-10-19,75
2008-10-26,72
2008-11-02,69
2008-11-09,74
2008-11-16,69
2008-11-23,57
2008-11-30,72
2008-12-07,69
2008-12-14,66
2008-12-21,51
2008-12-28,68
2009-01-04,88
2009-01-11,83
2009-01-18,86
2009-01-25,88
2009-02-01,92
2009-02-08,94
2009-02-15,94
2009-02-22,100
2009-03-01,96
2009-03-08,93
2009-03-15,90
2009-03-22,93
2009-03-29,97
2009-04-05,90
2009-04-12,89
2009-04-19,91
2009-04-26,85
2009-05-03,85
2009-05-10,87
2009-05-17,82
2009-05-24,86
2009-05-31,85
2009-06-07,84
2009-06-14,84
2009-06-21,77
2009-06-28,81
2009-07-05,86
2009-07-12,89
2009-07-19,87
2009-07-26,84
2009-08-02,85
2009-08-09,83
2009-08-16,80
2009-08-23,85
2009-08-30,80
2009-09-06,73
2009-09-13,78
2009-09-20,77
2009-09-27,72
2009-10-04,73
2009-10-11,73
2009-10-18,73
2009-10-25,70
2009-11-01,75
2009-11-08,72
2009-11-15,71
2009-11-22,58
2009-11-29,69
2009-12-06,63
2009-12-13,61
2009-12-20,52
2009-12-27,66
2010-01-03,83
2010-01-10,87
2010-01-17,91
2010-01-24,88
2010-01-31,87
2010-02-07,79
2010-02-14,88
2010-02-21,89
2010-02-28,95
2010-03-07,88
2010-03-14,89
2010-03-21,98
2010-03-28,96
2010-04-04,98
2010-04-11,100
2010-04-18,97
2010-04-25,98
2010-05-02,96
2010-05-09,91
2010-05-16,92
2010-05-23,86
2010-05-30,86
2010-06-06,88
2010-06-13,87
2010-06-20,87
2010-06-27,84
2010-07-04,80
2010-07-11,82
2010-07-18,87
2010-07-25,95
2010-08-01,86
2010-08-08,82
2010-08-15,91
2010-08-22,83
2010-08-29,80
2010-09-05,71
2010-09-12,76
2010-09-19,77
2010-09-26,77
2010-10-03,72
2010-10-10,73
2010-10-17,72
2010-10-24,72
2010-10-31,71
2010-11-07,72
2010-11-14,72
2010-11-21,58
2010-11-28,70
2010-12-05,71
2010-12-12,64
2010-12-19,50
2010-12-26,64
2011-01-02,89
2011-01-09,87
2011-01-16,88
2011-01-23,88
2011-01-30,86
2011-02-06,83
2011-02-13,84
2011-02-20,86
2011-02-27,94
2011-03-06,86
2011-03-13,82
2011-03-20,88
2011-03-27,100
2011-04-03,97
2011-04-10,98
2011-04-17,96
2011-04-24,93
2011-05-01,93
2011-05-08,94
2011-05-15,93
2011-05-22,86
2011-05-29,97
2011-06-05,94
2011-06-12,94
2011-06-19,89
2011-06-26,87
2011-07-03,89
2011-07-10,92
2011-07-17,92
2011-07-24,96
2011-07-31,99
2011-08-07,93
2011-08-14,99
2011-08-21,90
2011-08-28,82
