date,inflation
2004-01-04,61
2004-01-11,78
2004-01-18,69
2004-01-25,70
2004-02-01,66
2004-02-08,74
2004-02-15,75
2004-02-22,87
2004-02-29,68
2004-03-07,53
2004-03-14,62
2004-03-21,54
2004-03-28,42
2004-04-04,59
2004-04-11,91
2004-04-18,72
2004-04-25,80
2004-05-02,100
2004-05-09,56
2004-05-16,70
2004-05-23,75
2004-05-30,58
2004-06-06,73
2004-06-13,75
2004-06-20,57
2004-06-27,49
2004-07-04,62
2004-07-11,49
2004-07-18,45
2004-07-25,52
2004-08-01,61
2004-08-08,60
2004-08-15,52
2004-08-22,44
2004-08-29,53
2004-09-05,47
2004-09-12,63
2004-09-19,52
2004-09-26,65
2004-10-03,67
2004-10-10,61
2004-10-17,62
2004-10-24,69
2004-10-31,68
2004-11-07,63
2004-11-14,70
2004-11-21,52
2004-11-28,73
2004-12-05,68
2004-12-12,63
2004-12-19,54
2004-12-26,43
2005-01-02,64
2005-01-09,62
2005-01-16,67
2005-01-23,66
2005-01-30,73
2005-02-06,69
2005-02-13,72
2005-02-20,83
2005-02-27,74
2005-03-06,86
2005-03-13,82
2005-03-20,79
2005-03-27,83
2005-04-03,89
2005-04-10,92
2005-04-17,95
2005-04-24,87
2005-05-01,93
2005-05-08,100
2005-05-15,76
2005-05-22,65
2005-05-29,56
2005-06-05,59
2005-06-12,55
2005-06-19,53
2005-06-26,59
2005-07-03,54
2005-07-10,66
2005-07-17,54
2005-07-24,48
2005-07-31,45
2005-08-07,62
2005-08-14,70
2005-08-21,57
2005-08-28,66
2005-09-04,53
2005-09-11,74
2005-09-18,77
2005-09-25,81
2005-10-02,74
2005-10-09,78
2005-10-16,77
2005-10-23,92
2005-10-30,83
2005-11-06,81
2005-11-13,87
2005-11-20,68
2005-11-27,94
2005-12-04,89
2005-12-11,68
2005-12-18,52
2005-12-25,47
2006-01-01,60
2006-01-08,69
2006-01-15,65
2006-01-22,75
2006-01-29,81
2006-02-05,92
2006-02-12,73
2006-02-19,66
2006-02-26,89
2006-03-05,72
2006-03-12,72
2006-03-19,77
2006-03-26,91
2006-04-02,87
2006-04-09,92
2006-04-16,100
2006-04-23,99
2006-04-30,95
2006-05-07,78
2006-05-14,90
2006-05-21,77
2006-05-28,64
2006-06-04,75
2006-06-11,82
2006-06-18,72
2006-06-25,70
2006-07-02,57
2006-07-09,66
2006-07-16,70
2006-07-23,49
2006-07-30,54
2006-08-06,65
2006-08-13,54
2006-08-20,54
2006-08-27,64
2006-09-03,49
2006-09-10,68
2006-09-17,78
2006-09-24,62
2006-10-01,71
2006-10-08,80
2006-10-15,70
2006-10-22,71
2006-10-29,77
2006-11-05,67
2006-11-12,78
2006-11-19,60
2006-11-26,76
2006-12-03,85
2006-12-10,62
2006-12-17,58
2006-12-24,51
2006-12-31,61
2007-01-07,68
2007-01-14,64
2007-01-21,57
2007-01-28,77
2007-02-04,57
2007-02-11,73
2007-02-18,63
2007-02-25,65
2007-03-04,63
2007-03-11,67
2007-03-18,75
2007-03-25,84
2007-04-01,60
2007-04-08,60
2007-04-15,69
2007-04-22,83
2007-04-29,75
2007-05-06,76
2007-05-13,55
2007-05-20,62
2007-05-27,65
2007-06-03,54
2007-06-10,70
2007-06-17,52
2007-06-24,58
2007-07-01,60
2007-07-08,67
2007-07-15,62
2007-07-22,56
2007-07-29,62
2007-08-05,62
2007-08-12,56
2007-08-19,46
2007-08-26,47
2007-09-02,42
2007-09-09,64
2007-09-16,83
2007-09-23,65
2007-09-30,77
2007-10-07,69
2007-10-14,69
2007-10-21,76
2007-10-28,78
2007-11-04,80
2007-11-11,86
2007-11-18,70
2007-11-25,67
2007-12-02,75
2007-12-09,100
2007-12-16,82
2007-12-23,50
2007-12-30,61
2008-01-06,61
2008-01-13,84
2008-01-20,72
2008-01-27,68
2008-02-03,66
2008-02-10,69
2008-02-17,79
2008-02-24,100
2008-03-02,74
2008-03-09,76
2008-03-16,81
2008-03-23,73
2008-03-30,74
2008-04-06,81
2008-04-13,89
2008-04-20,84
2008-04-27,87
2008-05-04,78
2008-05-11,77
2008-05-18,77
2008-05-25,72
2008-06-01,67
2008-06-08,82
2008-06-15,73
2008-06-22,69
2008-06-29,66
2008-07-06,66
2008-07-13,83
2008-07-20,69
2008-07-27,70
2008-08-03,69
2008-08-10,53
2008-08-17,60
2008-08-24,59
