date,netflix
2004-01-04,55
2004-01-11,47
2004-01-18,58
2004-01-25,68
2004-02-01,50
2004-02-08,57
2004-02-15,60
2004-02-22,56
2004-02-29,63
2004-03-07,62
2004-03-14,54
2004-03-21,56
2004-03-28,50
2004-04-04,55
2004-04-11,54
2004-04-18,51
2004-04-25,46
2004-05-02,50
2004-05-09,51
2004-05-16,56
2004-05-23,54
2004-05-30,58
2004-06-06,58
2004-06-13,64
2004-06-20,60
2004-06-27,63
2004-07-04,65
2004-07-11,70
2004-07-18,71
2004-07-25,60
2004-08-01,50
2004-08-08,72
2004-08-15,58
2004-08-22,64
2004-08-29,67
2004-09-05,68
2004-09-12,60
2004-09-19,60
2004-09-26,52
2004-10-03,57
2004-10-10,76
2004-10-17,68
2004-10-24,75
2004-10-31,63
2004-11-07,63
2004-11-14,70
2004-11-21,67
2004-11-28,74
2004-12-05,78
2004-12-12,88
2004-12-19,96
2004-12-26,100
2005-01-02,58
2005-01-09,58
2005-01-16,52
2005-01-23,48
2005-01-30,56
2005-02-06,49
2005-02-13,48
2005-02-20,51
2005-02-27,47
2005-03-06,45
2005-03-13,52
2005-03-20,55
2005-03-27,58
2005-04-03,43
2005-04-10,47
2005-04-17,45
2005-04-24,44
2005-05-01,42
2005-05-08,46
2005-05-15,56
2005-05-22,56
2005-05-29,54
2005-06-05,45
2005-06-12,51
2005-06-19,55
2005-06-26,52
2005-07-03,56
2005-07-10,59
2005-07-17,50
2005-07-24,57
2005-07-31,57
2005-08-07,65
2005-08-14,64
2005-08-21,61
2005-08-28,56
2005-09-04,56
2005-09-11,52
2005-09-18,60
2005-09-25,56
2005-10-02,49
2005-10-09,52
2005-10-16,59
2005-10-23,61
2005-10-30,73
2005-11-06,60
2005-11-13,61
2005-11-20,58
2005-11-27,55
2005-12-04,61
2005-12-11,70
2005-12-18,74
2005-12-25,100
2006-01-01,73
2006-01-08,75
2006-01-15,73
2006-01-22,77
2006-01-29,72
2006-02-05,70
2006-02-12,69
2006-02-19,67
2006-02-26,72
2006-03-05,76
2006-03-12,66
2006-03-19,65
2006-03-26,65
2006-04-02,66
2006-04-09,57
2006-04-16,59
2006-04-23,61
2006-04-30,63
2006-05-07,57
2006-05-14,58
2006-05-21,65
2006-05-28,65
2006-06-04,75
2006-06-11,72
2006-06-18,78
2006-06-25,72
2006-07-02,75
2006-07-09,78
2006-07-16,74
2006-07-23,72
2006-07-30,76
2006-08-06,80
2006-08-13,75
2006-08-20,80
2006-08-27,76
2006-09-03,77
2006-09-10,70
2006-09-17,74
2006-09-24,68
2006-10-01,73
2006-10-08,74
2006-10-15,71
2006-10-22,69
2006-10-29,78
2006-11-05,69
2006-11-12,74
2006-11-19,77
2006-11-26,74
2006-12-03,82
2006-12-10,82
2006-12-17,91
2006-12-24,100
2006-12-31,96
2007-01-07,86
2007-01-14,91
2007-01-21,85
2007-01-28,75
2007-02-04,73
2007-02-11,75
2007-02-18,73
2007-02-25,82
2007-03-04,75
2007-03-11,69
2007-03-18,69
2007-03-25,71
2007-04-01,71
2007-04-08,70
2007-04-15,68
2007-04-22,63
2007-04-29,67
2007-05-06,61
2007-05-13,62
2007-05-20,67
2007-05-27,67
2007-06-03,72
2007-06-10,77
2007-06-17,73
2007-06-24,75
2007-07-01,75
2007-07-08,76
2007-07-15,75
2007-07-22,97
2007-07-29,85
2007-08-05,81
2007-08-12,74
2007-08-19,77
2007-08-26,79
2007-09-02,87
2007-09-09,72
2007-09-16,74
2007-09-23,68
2007-09-30,71
2007-10-07,70
2007-10-14,72
2007-10-21,72
2007-10-28,75
2007-11-04,76
2007-11-11,69
2007-11-18,74
2007-11-25,74
2007-12-02,69
2007-12-09,77
2007-12-16,84
2007-12-23,96
2007-12-30,100
2008-01-06,54
2008-01-13,57
2008-01-20,54
2008-01-27,49
2008-02-03,48
2008-02-10,54
2008-02-17,54
2008-02-24,55
2008-03-02,48
2008-03-09,49
2008-03-16,56
2008-03-23,66
2008-03-30,50
2008-04-06,45
2008-04-13,49
2008-04-20,46
2008-04-27,43
2008-05-04,46
2008-05-11,42
2008-05-18,51
2008-05-25,54
2008-06-01,52
2008-06-08,53
2008-06-15,57
2008-06-22,60
2008-06-29,60
2008-07-06,55
2008-07-13,58
2008-07-20,57
2008-07-27,60
2008-08-03,56
2008-08-10,64
2008-08-17,51
2008-08-24,54
2008-08-31,52
2008-09-07,51
2008-09-14,54
2008-09-21,53
2008-09-28,53
2008-10-05,52
2008-10-12,51
2008-10-19,53
2008-10-26,56
2008-11-02,55
2008-11-09,58
2008-11-16,70
2008-11-23,81
2008-11-30,72
2008-12-07,70
2008-12-14,77
2008-12-21,95
2008-12-28,100
2009-01-04,58
2009-01-11,55
2009-01-18,54
2009-01-25,54
2009-02-01,53
2009-02-08,52
2009-02-15,53
2009-02-22,50
2009-03-01,51
2009-03-08,49
2009-03-15,46
2009-03-22,49
2009-03-29,50
2009-04-05,49
2009-04-12,46
2009-04-19,44
2009-04-26,43
2009-05-03,45
2009-05-10,47
2009-05-17,46
2009-05-24,52
2009-05-31,51
2009-06-07,53
2009-06-14,53
2009-06-21,51
2009-06-28,53
2009-07-05,55
2009-07-12,60
2009-07-19,55
2009-07-26,57
2009-08-02,54
2009-08-09,59
2009-08-16,56
2009-08-23,57
2009-08-30,57
2009-09-06,56
