date,unemployment
2004-01-04,98
2004-01-11,98
2004-01-18,96
2004-01-25,100
2004-02-01,85
2004-02-08,84
2004-02-15,88
2004-02-22,82
2004-02-29,96
2004-03-07,73
2004-03-14,79
2004-03-21,71
2004-03-28,92
2004-04-04,80
2004-04-11,71
2004-04-18,84
2004-04-25,78
2004-05-02,81
2004-05-09,80
2004-05-16,71
2004-05-23,62
2004-05-30,74
2004-06-06,64
2004-06-13,72
2004-06-20,76
2004-06-27,76
2004-07-04,76
2004-07-11,68
2004-07-18,70
2004-07-25,78
2004-08-01,71
2004-08-08,71
2004-08-15,65
2004-08-22,70
2004-08-29,81
2004-09-05,68
2004-09-12,67
2004-09-19,66
2004-09-26,78
2004-10-03,82
2004-10-10,77
2004-10-17,74
2004-10-24,72
2004-10-31,83
2004-11-07,68
2004-11-14,71
2004-11-21,57
2004-11-28,67
2004-12-05,68
2004-12-12,65
2004-12-19,58
2004-12-26,67
2005-01-02,100
2005-01-09,93
2005-01-16,86
2005-01-23,86
2005-01-30,82
2005-02-06,78
2005-02-13,73
2005-02-20,76
2005-02-27,84
2005-03-06,79
2005-03-13,77
2005-03-20,81
2005-03-27,72
2005-04-03,71
2005-04-10,77
2005-04-17,69
2005-04-24,72
2005-05-01,70
2005-05-08,74
2005-05-15,73
2005-05-22,70
2005-05-29,68
2005-06-05,74
2005-06-12,68
2005-06-19,83
2005-06-26,76
2005-07-03,79
2005-07-10,85
2005-07-17,75
2005-07-24,76
2005-07-31,73
2005-08-07,72
2005-08-14,66
2005-08-21,69
2005-08-28,72
2005-09-04,80
2005-09-11,84
2005-09-18,69
2005-09-25,73
2005-10-02,74
2005-10-09,73
2005-10-16,73
2005-10-23,73
2005-10-30,81
2005-11-06,71
2005-11-13,79
2005-11-20,66
2005-11-27,75
2005-12-04,68
2005-12-11,73
2005-12-18,65
2005-12-25,78
2006-01-01,95
2006-01-08,91
2006-01-15,84
2006-01-22,83
2006-01-29,80
2006-02-05,72
2006-02-12,79
2006-02-19,73
2006-02-26,72
2006-03-05,69
2006-03-12,71
2006-03-19,74
2006-03-26,76
2006-04-02,77
2006-04-09,78
2006-04-16,79
2006-04-23,79
2006-04-30,68
2006-05-07,68
2006-05-14,70
2006-05-21,73
2006-05-28,72
2006-06-04,68
2006-06-11,73
2006-06-18,75
2006-06-25,80
2006-07-02,81
2006-07-09,83
2006-07-16,71
2006-07-23,76
2006-07-30,83
2006-08-06,70
2006-08-13,69
2006-08-20,72
2006-08-27,71
2006-09-03,66
2006-09-10,72
2006-09-17,68
2006-09-24,68
2006-10-01,73
2006-10-08,77
2006-10-15,71
2006-10-22,72
2006-10-29,75
2006-11-05,76
2006-11-12,74
2006-11-19,61
2006-11-26,78
2006-12-03,85
2006-12-10,74
2006-12-17,80
2006-12-24,75
2006-12-31,100
2007-01-07,77
2007-01-14,79
2007-01-21,79
2007-01-28,68
2007-02-04,68
2007-02-11,68
2007-02-18,69
2007-02-25,64
2007-03-04,61
2007-03-11,67
2007-03-18,66
2007-03-25,64
2007-04-01,70
2007-04-08,69
2007-04-15,70
2007-04-22,67
2007-04-29,68
2007-05-06,65
2007-05-13,63
2007-05-20,58
2007-05-27,65
2007-06-03,68
2007-06-10,67
2007-06-17,68
2007-06-24,64
2007-07-01,70
2007-07-08,67
2007-07-15,70
2007-07-22,72
2007-07-29,76
2007-08-05,60
2007-08-12,68
2007-08-19,66
2007-08-26,66
2007-09-02,60
2007-09-09,58
2007-09-16,62
2007-09-23,73
2007-09-30,76
2007-10-07,65
2007-10-14,74
2007-10-21,73
2007-10-28,74
2007-11-04,69
2007-11-11,75
2007-11-18,66
2007-11-25,73
2007-12-02,75
2007-12-09,78
2007-12-16,71
2007-12-23,81
2007-12-30,100
2008-01-06,47
2008-01-13,44
2008-01-20,49
2008-01-27,46
2008-02-03,43
2008-02-10,39
2008-02-17,40
2008-02-24,42
2008-03-02,39
2008-03-09,37
2008-03-16,39
2008-03-23,40
2008-03-30,43
2008-04-06,41
2008-04-13,42
2008-04-20,43
2008-04-27,42
2008-05-04,40
2008-05-11,41
2008-05-18,39
2008-05-25,40
2008-06-01,44
2008-06-08,44
2008-06-15,49
2008-06-22,46
2008-06-29,51
2008-07-06,52
2008-07-13,52
2008-07-20,52
2008-07-27,53
2008-08-03,49
2008-08-10,45
2008-08-17,48
2008-08-24,50
2008-08-31,55
2008-09-07,53
2008-09-14,58
2008-09-21,56
2008-09-28,58
2008-10-05,62
2008-10-12,61
2008-10-19,67
2008-10-26,67
2008-11-02,71
2008-11-09,78
2008-11-16,96
2008-11-23,77
2008-11-30,95
2008-12-07,95
2008-12-14,90
2008-12-21,87
2008-12-28,100
2009-01-04,97
2009-01-11,88
2009-01-18,83
2009-01-25,91
2009-02-01,91
2009-02-08,83
2009-02-15,84
2009-02-22,90
2009-03-01,88
2009-03-08,85
2009-03-15,80
2009-03-22,80
2009-03-29,84
2009-04-05,79
2009-04-12,80
2009-04-19,75
2009-04-26,76
2009-05-03,74
2009-05-10,75
2009-05-17,74
2009-05-24,75
2009-05-31,76
2009-06-07,77
2009-06-14,79
2009-06-21,82
2009-06-28,83
2009-07-05,88
2009-07-12,87
2009-07-19,82
2009-07-26,81
2009-08-02,85
2009-08-09,80
2009-08-16,76
2009-08-23,78
2009-08-30,78
2009-09-06,77
2009-09-13,76
2009-09-20,84
2009-09-27,81
2009-10-04,91
2009-10-11,85
2009-10-18,83
2009-10-25,85
2009-11-01,100
2009-11-08,93
2009-11-15,85
2009-11-22,76
2009-11-29,87
2009-12-06,83
2009-12-13,86
2009-12-20,91
2009-12-27,91
2010-01-03,61
2010-01-10,59
2010-01-17,60
2010-01-24,58
2010-01-31,55
