date,united health
2004-01-04,81
2004-01-11,100
2004-01-18,80
2004-01-25,83
2004-02-01,65
2004-02-08,77
2004-02-15,77
2004-02-22,86
2004-02-29,86
2004-03-07,76
2004-03-14,76
2004-03-21,73
2004-03-28,57
2004-04-04,79
2004-04-11,60
2004-04-18,66
2004-04-25,75
2004-05-02,77
2004-05-09,81
2004-05-16,75
2004-05-23,69
2004-05-30,70
2004-06-06,78
2004-06-13,68
2004-06-20,68
2004-06-27,66
2004-07-04,55
2004-07-11,79
2004-07-18,72
2004-07-25,77
2004-08-01,78
2004-08-08,65
2004-08-15,86
2004-08-22,75
2004-08-29,73
2004-09-05,69
2004-09-12,92
2004-09-19,76
2004-09-26,98
2004-10-03,80
2004-10-10,88
2004-10-17,71
2004-10-24,78
2004-10-31,88
2004-11-07,80
2004-11-14,80
2004-11-21,66
2004-11-28,76
2004-12-05,68
2004-12-12,63
2004-12-19,67
2004-12-26,62
2005-01-02,79
2005-01-09,77
2005-01-16,83
2005-01-23,78
2005-01-30,63
2005-02-06,62
2005-02-13,62
2005-02-20,62
2005-02-27,65
2005-03-06,75
2005-03-13,62
2005-03-20,73
2005-03-27,66
2005-04-03,59
2005-04-10,81
2005-04-17,76
2005-04-24,69
2005-05-01,59
2005-05-08,76
2005-05-15,65
2005-05-22,73
2005-05-29,64
2005-06-05,80
2005-06-12,72
2005-06-19,58
2005-06-26,72
2005-07-03,77
2005-07-10,83
2005-07-17,62
2005-07-24,76
2005-07-31,72
2005-08-07,61
2005-08-14,65
2005-08-21,57
2005-08-28,71
2005-09-04,70
2005-09-11,62
2005-09-18,71
2005-09-25,68
2005-10-02,70
2005-10-09,79
2005-10-16,81
2005-10-23,81
2005-10-30,100
2005-11-06,74
2005-11-13,84
2005-11-20,52
2005-11-27,79
2005-12-04,80
2005-12-11,64
2005-12-18,55
2005-12-25,51
2006-01-01,82
2006-01-08,79
2006-01-15,85
2006-01-22,76
2006-01-29,86
2006-02-05,73
2006-02-12,65
2006-02-19,72
2006-02-26,80
2006-03-05,69
2006-03-12,54
2006-03-19,65
2006-03-26,62
2006-04-02,68
2006-04-09,69
2006-04-16,100
2006-04-23,65
2006-04-30,66
2006-05-07,65
2006-05-14,66
2006-05-21,52
2006-05-28,58
2006-06-04,72
2006-06-11,67
2006-06-18,66
2006-06-25,76
2006-07-02,47
2006-07-09,63
2006-07-16,63
2006-07-23,82
2006-07-30,74
2006-08-06,75
2006-08-13,77
2006-08-20,70
2006-08-27,67
2006-09-03,75
2006-09-10,86
2006-09-17,68
2006-09-24,75
2006-10-01,81
2006-10-08,83
2006-10-15,95
2006-10-22,80
2006-10-29,89
2006-11-05,85
2006-11-12,71
2006-11-19,63
2006-11-26,69
2006-12-03,81
2006-12-10,66
2006-12-17,57
2006-12-24,65
2006-12-31,91
2007-01-07,87
2007-01-14,99
2007-01-21,74
2007-01-28,91
2007-02-04,82
2007-02-11,78
2007-02-18,77
2007-02-25,64
2007-03-04,87
2007-03-11,71
2007-03-18,76
2007-03-25,81
2007-04-01,86
2007-04-08,81
2007-04-15,76
2007-04-22,68
2007-04-29,70
2007-05-06,72
2007-05-13,82
2007-05-20,86
2007-05-27,67
2007-06-03,75
2007-06-10,77
2007-06-17,74
2007-06-24,70
2007-07-01,80
2007-07-08,71
2007-07-15,91
2007-07-22,85
2007-07-29,96
2007-08-05,98
2007-08-12,69
2007-08-19,74
2007-08-26,76
2007-09-02,77
2007-09-09,77
2007-09-16,81
