Catégorie : Toutes catégories

Mois,buy: (États-Unis)
2004-01,51
2004-02,48
2004-03,45
2004-04,45
2004-05,48
2004-06,53
2004-07,54
2004-08,53
2004-09,50
2004-10,48
2004-11,60
2004-12,69
2005-01,51
2005-02,48
2005-03,47
2005-04,45
2005-05,47
2005-06,50
2005-07,51
2005-08,50
2005-09,47
2005-10,47
2005-11,60
2005-12,70
2006-01,51
2006-02,48
2006-03,44
2006-04,45
2006-05,46
2006-06,50
2006-07,51
2006-08,51
2006-09,48
2006-10,48
2006-11,63
2006-12,76
2007-01,53
2007-02,50
2007-03,48
2007-04,49
2007-05,52
2007-06,55
2007-07,55
2007-08,55
2007-09,55
2007-10,53
2007-11,70
2007-12,81
2008-01,58
2008-02,55
2008-03,53
2008-04,52
2008-05,55
2008-06,60
2008-07,59
2008-08,60
2008-09,56
2008-10,56
2008-11,73
2008-12,88
2009-01,65
2009-02,59
2009-03,58
2009-04,55
2009-05,56
2009-06,61
2009-07,61
2009-08,63
2009-09,58
2009-10,59
2009-11,78
2009-12,84
2010-01,61
2010-02,60
2010-03,56
2010-04,55
2010-05,58
2010-06,60
2010-07,60
2010-08,60
2010-09,59
2010-10,56
2010-11,78
2010-12,86
2011-01,74
2011-02,71
2011-03,70
2011-04,67
2011-05,69
2011-06,70
2011-07,73
2011-08,75
2011-09,69
2011-10,69
2011-11,96
2011-12,100
2012-01,77
2012-02,75
2012-03,71
2012-04,66
2012-05,66
2012-06,69
2012-07,71
2012-08,69
2012-09,68
2012-10,65
2012-11,94
2012-12,95
2013-01,71
2013-02,67
2013-03,68
2013-04,64
2013-05,65
2013-06,70
2013-07,71
2013-08,68
2013-09,66
2013-10,64
2013-11,89
2013-12,99
2014-01,68
2014-02,66
2014-03,65
2014-04,63
2014-05,61
2014-06,66
2014-07,67
2014-08,68
2014-09,63
2014-10,61
2014-11,86
2014-12,89
2015-01,64
2015-02,60
2015-03,59
2015-04,58
2015-05,61
2015-06,64
2015-07,69
2015-08,69
2015-09,62
2015-10,61
2015-11,84
2015-12,85
2016-01,67
2016-02,63
2016-03,60
2016-04,61
2016-05,61
2016-06,64
2016-07,66
2016-08,62
2016-09,61
2016-10,58
2016-11,84
2016-12,82
2017-01,64
2017-02,60
2017-03,62
2017-04,61
2017-05,61
2017-06,64
2017-07,65
2017-08,68
2017-09,60
2017-10,58
2017-11,87
2017-12,86
2018-01,65
2018-02,61
2018-03,60
2018-04,58
2018-05,60
2018-06,62
2018-07,65
2018-08,63
2018-09,59
2018-10,59
2018-11,83
2018-12,80
2019-01,61
2019-02,60
2019-03,60
2019-04,58
2019-05,59
2019-06,63
2019-07,64
2019-08,64
2019-09,59
2019-10,57
2019-11,77
2019-12,82
2020-01,62
2020-02,61
2020-03,70
2020-04,77
2020-05,80
2020-06,76
2020-07,76
2020-08,73
2020-09,68
2020-10,68
2020-11,94
2020-12,90
