Catégorie : Toutes catégories

Mois,greed: (États-Unis)
2004-01,46
2004-02,57
2004-03,21
2004-04,45
2004-05,38
2004-06,38
2004-07,26
2004-08,28
2004-09,39
2004-10,57
2004-11,37
2004-12,47
2005-01,39
2005-02,51
2005-03,55
2005-04,40
2005-05,51
2005-06,29
2005-07,28
2005-08,41
2005-09,48
2005-10,43
2005-11,51
2005-12,49
2006-01,51
2006-02,44
2006-03,39
2006-04,38
2006-05,40
2006-06,35
2006-07,30
2006-08,34
2006-09,38
2006-10,41
2006-11,44
2006-12,33
2007-01,36
2007-02,34
2007-03,44
2007-04,42
2007-05,43
2007-06,39
2007-07,41
2007-08,40
2007-09,39
2007-10,39
2007-11,37
2007-12,38
2008-01,40
2008-02,37
2008-03,48
2008-04,46
2008-05,38
2008-06,37
2008-07,42
2008-08,35
2008-09,54
2008-10,61
2008-11,52
2008-12,43
2009-01,57
2009-02,61
2009-03,64
2009-04,48
2009-05,52
2009-06,40
2009-07,36
2009-08,45
2009-09,53
2009-10,51
2009-11,45
2009-12,50
2010-01,54
2010-02,57
2010-03,68
2010-04,51
2010-05,54
2010-06,41
2010-07,44
2010-08,40
2010-09,57
2010-10,51
2010-11,44
2010-12,53
2011-01,54
2011-02,62
2011-03,54
2011-04,56
2011-05,53
2011-06,42
2011-07,47
2011-08,48
2011-09,45
2011-10,71
2011-11,75
2011-12,57
2012-01,54
2012-02,53
2012-03,50
2012-04,48
2012-05,46
2012-06,53
2012-07,50
2012-08,51
2012-09,58
2012-10,60
2012-11,63
2012-12,49
2013-01,52
2013-02,46
2013-03,48
2013-04,46
2013-05,46
2013-06,45
2013-07,45
2013-08,50
2013-09,51
2013-10,55
2013-11,55
2013-12,54
2014-01,54
2014-02,57
2014-03,54
2014-04,58
2014-05,50
2014-06,49
2014-07,49
2014-08,49
2014-09,50
2014-10,52
2014-11,54
2014-12,49
2015-01,50
2015-02,58
2015-03,57
2015-04,51
2015-05,47
2015-06,43
2015-07,44
2015-08,46
2015-09,62
2015-10,58
2015-11,73
2015-12,60
2016-01,61
2016-02,62
2016-03,50
2016-04,54
2016-05,52
2016-06,44
2016-07,43
2016-08,41
2016-09,51
2016-10,54
2016-11,55
2016-12,52
2017-01,58
2017-02,56
2017-03,54
2017-04,45
2017-05,48
2017-06,40
2017-07,49
2017-08,45
2017-09,48
2017-10,51
2017-11,52
2017-12,52
2018-01,56
2018-02,59
2018-03,55
2018-04,53
2018-05,45
2018-06,42
2018-07,40
2018-08,44
2018-09,51
2018-10,59
2018-11,54
2018-12,53
2019-01,50
2019-02,54
2019-03,53
2019-04,52
2019-05,48
2019-06,40
2019-07,41
2019-08,52
2019-09,57
2019-10,54
2019-11,55
2019-12,49
2020-01,61
2020-02,69
2020-03,100
2020-04,62
2020-05,60
2020-06,51
2020-07,49
2020-08,64
2020-09,63
2020-10,58
2020-11,61
2020-12,69
