Catégorie : Toutes catégories

Mois,gain: (États-Unis)
2004-01,40
2004-02,34
2004-03,35
2004-04,42
2004-05,36
2004-06,43
2004-07,39
2004-08,34
2004-09,35
2004-10,37
2004-11,39
2004-12,38
2005-01,36
2005-02,38
2005-03,42
2005-04,38
2005-05,41
2005-06,39
2005-07,42
2005-08,39
2005-09,37
2005-10,38
2005-11,38
2005-12,34
2006-01,42
2006-02,42
2006-03,43
2006-04,43
2006-05,38
2006-06,38
2006-07,40
2006-08,35
2006-09,36
2006-10,36
2006-11,35
2006-12,32
2007-01,39
2007-02,37
2007-03,40
2007-04,38
2007-05,39
2007-06,38
2007-07,38
2007-08,37
2007-09,38
2007-10,39
2007-11,37
2007-12,35
2008-01,38
2008-02,41
2008-03,40
2008-04,42
2008-05,38
2008-06,39
2008-07,40
2008-08,35
2008-09,41
2008-10,41
2008-11,42
2008-12,39
2009-01,48
2009-02,51
2009-03,45
2009-04,47
2009-05,46
2009-06,46
2009-07,48
2009-08,46
2009-09,47
2009-10,45
2009-11,47
2009-12,43
2010-01,48
2010-02,47
2010-03,53
2010-04,51
2010-05,47
2010-06,49
2010-07,47
2010-08,44
2010-09,46
2010-10,45
2010-11,46
2010-12,44
2011-01,55
2011-02,56
2011-03,57
2011-04,58
2011-05,56
2011-06,56
2011-07,54
2011-08,54
2011-09,55
2011-10,54
2011-11,55
2011-12,48
2012-01,59
2012-02,60
2012-03,59
2012-04,63
2012-05,62
2012-06,59
2012-07,59
2012-08,59
2012-09,66
2012-10,58
2012-11,58
2012-12,57
2013-01,68
2013-02,64
2013-03,69
2013-04,100
2013-05,87
2013-06,67
2013-07,69
2013-08,77
2013-09,77
2013-10,66
2013-11,61
2013-12,59
2014-01,65
2014-02,65
2014-03,70
2014-04,68
2014-05,75
2014-06,65
2014-07,65
2014-08,60
2014-09,59
2014-10,58
2014-11,59
2014-12,56
2015-01,64
2015-02,64
2015-03,67
2015-04,68
2015-05,63
2015-06,61
2015-07,62
2015-08,58
2015-09,59
2015-10,58
2015-11,58
2015-12,57
2016-01,63
2016-02,65
2016-03,67
2016-04,66
2016-05,63
2016-06,59
2016-07,59
2016-08,56
2016-09,60
2016-10,60
2016-11,57
2016-12,53
2017-01,62
2017-02,67
2017-03,68
2017-04,68
2017-05,63
2017-06,62
2017-07,64
2017-08,59
2017-09,61
2017-10,60
2017-11,62
2017-12,59
2018-01,66
2018-02,68
2018-03,69
2018-04,68
2018-05,67
2018-06,63
2018-07,65
2018-08,63
2018-09,62
2018-10,64
2018-11,62
2018-12,60
2019-01,67
2019-02,69
2019-03,68
2019-04,68
2019-05,66
2019-06,63
2019-07,63
2019-08,59
2019-09,61
2019-10,63
2019-11,61
2019-12,58
2020-01,66
2020-02,70
2020-03,62
2020-04,70
2020-05,70
2020-06,69
2020-07,67
2020-08,63
2020-09,68
2020-10,69
2020-11,63
2020-12,66
