Catégorie : Toutes catégories

Mois,golf: (États-Unis)
2004-01,45
2004-02,51
2004-03,64
2004-04,80
2004-05,83
2004-06,100
2004-07,97
2004-08,85
2004-09,65
2004-10,50
2004-11,41
2004-12,45
2005-01,45
2005-02,50
2005-03,62
2005-04,82
2005-05,82
2005-06,97
2005-07,94
2005-08,86
2005-09,64
2005-10,49
2005-11,43
2005-12,42
2006-01,44
2006-02,49
2006-03,55
2006-04,77
2006-05,76
2006-06,90
2006-07,88
2006-08,80
2006-09,64
2006-10,49
2006-11,41
2006-12,42
2007-01,40
2007-02,44
2007-03,56
2007-04,70
2007-05,77
2007-06,94
2007-07,87
2007-08,77
2007-09,61
2007-10,46
2007-11,36
2007-12,37
2008-01,40
2008-02,45
2008-03,52
2008-04,69
2008-05,69
2008-06,89
2008-07,78
2008-08,66
2008-09,50
2008-10,39
2008-11,31
2008-12,31
2009-01,33
2009-02,38
2009-03,48
2009-04,62
2009-05,65
2009-06,79
2009-07,75
2009-08,68
2009-09,52
2009-10,38
2009-11,32
2009-12,31
2010-01,30
2010-02,33
2010-03,43
2010-04,62
2010-05,58
2010-06,67
2010-07,63
2010-08,58
2010-09,44
2010-10,35
2010-11,27
2010-12,26
2011-01,30
2011-02,37
2011-03,41
2011-04,56
2011-05,57
2011-06,71
2011-07,65
2011-08,58
2011-09,45
2011-10,35
2011-11,29
2011-12,29
2012-01,30
2012-02,37
2012-03,47
2012-04,58
2012-05,57
2012-06,74
2012-07,61
2012-08,53
2012-09,44
2012-10,31
2012-11,26
2012-12,25
2013-01,29
2013-02,33
2013-03,42
2013-04,52
2013-05,55
2013-06,65
2013-07,58
2013-08,56
2013-09,41
2013-10,32
2013-11,25
2013-12,24
2014-01,27
2014-02,30
2014-03,36
2014-04,49
2014-05,49
2014-06,57
2014-07,55
2014-08,53
2014-09,39
2014-10,29
2014-11,23
2014-12,25
2015-01,26
2015-02,29
2015-03,36
2015-04,47
2015-05,49
2015-06,61
2015-07,60
2015-08,54
2015-09,41
2015-10,29
2015-11,24
2015-12,24
2016-01,26
2016-02,32
2016-03,40
2016-04,48
2016-05,50
2016-06,60
2016-07,56
2016-08,52
2016-09,39
2016-10,32
2016-11,26
2016-12,26
2017-01,28
2017-02,35
2017-03,37
2017-04,50
2017-05,49
2017-06,58
2017-07,58
2017-08,51
2017-09,40
2017-10,33
2017-11,27
2017-12,28
2018-01,29
2018-02,34
2018-03,40
2018-04,50
2018-05,51
2018-06,61
2018-07,58
2018-08,53
2018-09,43
2018-10,30
2018-11,27
2018-12,26
2019-01,28
2019-02,34
2019-03,40
2019-04,50
2019-05,52
2019-06,62
2019-07,57
2019-08,53
2019-09,39
2019-10,32
2019-11,27
2019-12,29
2020-01,30
2020-02,34
2020-03,32
2020-04,34
2020-05,53
2020-06,63
2020-07,64
2020-08,65
2020-09,54
2020-10,41
2020-11,39
2020-12,37
