Catégorie : Toutes catégories

Mois,facebook: (États-Unis)
2004-01,< 1
2004-02,< 1
2004-03,< 1
2004-04,< 1
2004-05,< 1
2004-06,< 1
2004-07,< 1
2004-08,< 1
2004-09,< 1
2004-10,< 1
2004-11,< 1
2004-12,< 1
2005-01,< 1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,2
2005-10,2
2005-11,2
2005-12,2
2006-01,2
2006-02,2
2006-03,2
2006-04,2
2006-05,2
2006-06,2
2006-07,2
2006-08,3
2006-09,3
2006-10,3
2006-11,3
2006-12,4
2007-01,3
2007-02,4
2007-03,4
2007-04,4
2007-05,5
2007-06,6
2007-07,6
2007-08,7
2007-09,8
2007-10,8
2007-11,8
2007-12,8
2008-01,8
2008-02,7
2008-03,8
2008-04,9
2008-05,9
2008-06,11
2008-07,13
2008-08,15
2008-09,16
2008-10,17
2008-11,21
2008-12,23
2009-01,29
2009-02,34
2009-03,36
2009-04,38
2009-05,38
2009-06,42
2009-07,47
2009-08,54
2009-09,54
2009-10,57
2009-11,57
2009-12,61
2010-01,62
2010-02,65
2010-03,67
2010-04,68
2010-05,71
2010-06,74
2010-07,83
2010-08,87
2010-09,92
2010-10,95
2010-11,95
2010-12,100
2011-01,84
2011-02,86
2011-03,79
2011-04,83
2011-05,82
2011-06,83
2011-07,91
2011-08,92
2011-09,96
2011-10,87
2011-11,85
2011-12,85
2012-01,90
2012-02,86
2012-03,87
2012-04,81
2012-05,83
2012-06,85
2012-07,82
2012-08,80
2012-09,76
2012-10,95
2012-11,100
2012-12,98
2013-01,96
2013-02,92
2013-03,95
2013-04,90
2013-05,94
2013-06,95
2013-07,90
2013-08,86
2013-09,80
2013-10,78
2013-11,77
2013-12,76
2014-01,75
2014-02,72
2014-03,72
2014-04,70
2014-05,70
2014-06,71
2014-07,70
2014-08,71
2014-09,70
2014-10,67
2014-11,67
2014-12,65
2015-01,65
2015-02,64
2015-03,63
2015-04,62
2015-05,66
2015-06,68
2015-07,63
2015-08,64
2015-09,62
2015-10,60
2015-11,60
2015-12,58
2016-01,71
2016-02,69
2016-03,70
2016-04,71
2016-05,70
2016-06,70
2016-07,70
2016-08,66
2016-09,60
2016-10,63
2016-11,58
2016-12,57
2017-01,59
2017-02,54
2017-03,55
2017-04,57
2017-05,55
2017-06,56
2017-07,57
2017-08,56
2017-09,52
2017-10,48
2017-11,46
2017-12,47
2018-01,45
2018-02,42
2018-03,43
2018-04,43
2018-05,41
2018-06,41
2018-07,41
2018-08,40
2018-09,40
2018-10,38
2018-11,37
2018-12,37
2019-01,34
2019-02,33
2019-03,34
2019-04,33
2019-05,35
2019-06,37
2019-07,37
2019-08,34
2019-09,31
2019-10,32
2019-11,31
2019-12,30
2020-01,30
2020-02,30
2020-03,32
2020-04,31
2020-05,31
2020-06,31
2020-07,30
2020-08,29
2020-09,27
2020-10,28
2020-11,26
2020-12,26
