Catégorie : Toutes catégories

Mois,success: (États-Unis),economy: (États-Unis),food: (États-Unis),war: (États-Unis),consume: (États-Unis)
2004-01,3,4,45,43,< 1
2004-02,3,5,45,47,< 1
2004-03,3,5,46,51,< 1
2004-04,3,5,45,55,< 1
2004-05,3,5,45,63,< 1
2004-06,3,3,39,32,< 1
2004-07,3,2,37,24,< 1
2004-08,3,3,36,25,< 1
2004-09,3,4,41,38,< 1
2004-10,3,5,44,45,< 1
2004-11,3,5,49,44,< 1
2004-12,2,4,47,40,< 1
2005-01,2,3,45,38,< 1
2005-02,3,4,46,43,< 1
2005-03,3,4,46,44,< 1
2005-04,3,5,50,50,< 1
2005-05,3,5,47,53,< 1
2005-06,3,3,40,34,< 1
2005-07,2,2,39,28,< 1
2005-08,3,3,39,25,< 1
2005-09,3,4,44,31,< 1
2005-10,3,4,46,35,< 1
2005-11,3,4,51,39,< 1
2005-12,3,3,47,36,< 1
2006-01,3,3,47,35,< 1
2006-02,3,4,47,38,< 1
2006-03,3,4,46,41,< 1
2006-04,3,4,45,41,< 1
2006-05,3,4,47,44,< 1
2006-06,2,2,41,25,< 1
2006-07,2,2,39,22,< 1
2006-08,2,2,40,21,< 1
2006-09,3,3,44,27,< 1
2006-10,3,3,47,32,< 1
2006-11,3,3,49,42,< 1
2006-12,2,3,48,36,< 1
2007-01,3,3,46,34,< 1
2007-02,3,3,46,35,< 1
2007-03,3,3,65,40,< 1
2007-04,3,3,66,39,< 1
2007-05,3,4,51,40,< 1
2007-06,2,3,44,26,< 1
2007-07,2,2,46,21,< 1
2007-08,2,2,44,22,< 1
2007-09,3,3,47,29,< 1
2007-10,3,3,50,31,< 1
2007-11,3,4,52,33,< 1
2007-12,2,3,50,32,< 1
2008-01,2,4,50,30,< 1
2008-02,3,4,49,34,< 1
2008-03,3,5,49,35,< 1
2008-04,3,5,52,37,< 1
2008-05,3,5,50,38,< 1
2008-06,2,4,45,25,< 1
2008-07,2,3,46,22,< 1
2008-08,2,3,45,23,< 1
2008-09,3,6,49,27,< 1
2008-10,3,7,51,33,< 1
2008-11,3,6,55,43,< 1
2008-12,2,5,54,36,< 1
2009-01,3,5,52,33,< 1
2009-02,3,6,52,35,< 1
2009-03,3,5,51,36,< 1
2009-04,3,5,51,35,< 1
2009-05,3,4,49,37,< 1
2009-06,3,3,47,26,< 1
2009-07,3,3,47,21,< 1
2009-08,3,3,49,22,< 1
2009-09,3,4,48,26,< 1
2009-10,3,4,52,28,< 1
2009-11,3,4,54,32,< 1
2009-12,3,3,51,31,< 1
2010-01,3,3,51,28,< 1
2010-02,3,4,51,30,< 1
2010-03,3,4,50,36,< 1
2010-04,3,4,51,35,< 1
2010-05,3,4,50,36,< 1
2010-06,3,3,46,26,< 1
2010-07,2,2,46,21,< 1
2010-08,3,2,47,20,< 1
2010-09,3,3,49,23,< 1
