Catégorie : Toutes catégories

Mois,investment: (États-Unis)
2004-01,100
2004-02,92
2004-03,97
2004-04,96
2004-05,77
2004-06,89
2004-07,87
2004-08,94
2004-09,89
2004-10,85
2004-11,81
2004-12,85
2005-01,86
2005-02,86
2005-03,93
2005-04,84
2005-05,82
2005-06,87
2005-07,85
2005-08,84
2005-09,81
2005-10,82
2005-11,76
2005-12,72
2006-01,82
2006-02,81
2006-03,86
2006-04,75
2006-05,77
2006-06,75
2006-07,71
2006-08,72
2006-09,69
2006-10,78
2006-11,72
2006-12,66
2007-01,73
2007-02,79
2007-03,75
2007-04,70
2007-05,70
2007-06,73
2007-07,75
2007-08,70
2007-09,68
2007-10,74
2007-11,68
2007-12,61
2008-01,71
2008-02,69
2008-03,72
2008-04,71
2008-05,62
2008-06,64
2008-07,61
2008-08,58
2008-09,72
2008-10,65
2008-11,53
2008-12,56
2009-01,56
2009-02,59
2009-03,59
2009-04,57
2009-05,49
2009-06,53
2009-07,52
2009-08,52
2009-09,51
2009-10,56
2009-11,51
2009-12,49
2010-01,53
2010-02,53
2010-03,57
2010-04,57
2010-05,50
2010-06,52
2010-07,45
2010-08,45
2010-09,47
2010-10,49
2010-11,47
2010-12,42
2011-01,51
2011-02,50
2011-03,52
2011-04,48
2011-05,44
2011-06,45
2011-07,43
2011-08,45
2011-09,43
2011-10,44
2011-11,41
2011-12,37
2012-01,44
2012-02,45
2012-03,44
2012-04,45
2012-05,41
2012-06,39
2012-07,38
2012-08,37
2012-09,40
2012-10,40
2012-11,37
2012-12,34
2013-01,42
2013-02,44
2013-03,42
2013-04,45
2013-05,41
2013-06,37
2013-07,38
2013-08,37
2013-09,41
2013-10,43
2013-11,41
2013-12,37
2014-01,42
2014-02,45
2014-03,45
2014-04,45
2014-05,41
2014-06,40
2014-07,42
2014-08,38
2014-09,42
2014-10,43
2014-11,42
2014-12,40
2015-01,42
2015-02,45
2015-03,45
2015-04,46
2015-05,41
2015-06,44
2015-07,42
2015-08,41
2015-09,40
2015-10,44
2015-11,41
2015-12,38
2016-01,41
2016-02,46
2016-03,45
2016-04,48
2016-05,39
2016-06,41
2016-07,38
2016-08,37
2016-09,39
2016-10,41
2016-11,40
2016-12,39
2017-01,45
2017-02,48
2017-03,48
2017-04,48
2017-05,44
2017-06,40
2017-07,41
2017-08,41
2017-09,42
2017-10,47
2017-11,45
2017-12,46
2018-01,46
2018-02,46
2018-03,45
2018-04,47
2018-05,41
2018-06,39
2018-07,39
2018-08,42
2018-09,42
2018-10,45
2018-11,40
2018-12,38
2019-01,41
2019-02,46
2019-03,44
2019-04,48
2019-05,41
2019-06,41
2019-07,42
2019-08,39
2019-09,42
2019-10,44
2019-11,40
2019-12,38
2020-01,45
2020-02,49
2020-03,45
2020-04,46
2020-05,43
2020-06,42
2020-07,46
2020-08,44
2020-09,46
2020-10,47
2020-11,43
2020-12,49
